sigla_uf,ano,meta,metodologia
RJ,2028,0.8632,interp_linear_2023_2030_v1
RJ,2029,0.9316,interp_linear_2023_2030_v1
RJ,2030,1.0,interp_linear_2023_2030_v1
RN,2024,0.4766,interp_linear_2023_2030_v1
RN,2025,0.5639,interp_linear_2023_2030_v1
RN,2026,0.6511,interp_linear_2023_2030_v1
RN,2027,0.7383,interp_linear_2023_2030_v1
RN,2028,0.8255,interp_linear_2023_2030_v1
RN,2029,0.9128,interp_linear_2023_2030_v1
RN,2030,1.0,interp_linear_2023_2030_v1
RO,2024,0.6735,interp_linear_2023_2030_v1
RO,2025,0.7279,interp_linear_2023_2030_v1
RO,2026,0.7823,interp_linear_2023_2030_v1
RO,2027,0.8368,interp_linear_2023_2030_v1
RO,2028,0.8912,interp_linear_2023_2030_v1
RO,2029,0.9456,interp_linear_2023_2030_v1
RO,2030,1.0,interp_linear_2023_2030_v1
RS,2024,0.686,interp_linear_2023_2030_v1
RS,2025,0.7383,interp_linear_2023_2030_v1
RS,2026,0.7907,interp_linear_2023_2030_v1
RS,2027,0.843,interp_linear_2023_2030_v1
RS,2028,0.8953,interp_linear_2023_2030_v1
RS,2029,0.9477,interp_linear_2023_2030_v1
RS,2030,1.0,interp_linear_2023_2030_v1
SC,2024,0.6628,interp_linear_2023_2030_v1
SC,2025,0.719,interp_linear_2023_2030_v1
SC,2026,0.7752,interp_linear_2023_2030_v1
SC,2027,0.8314,interp_linear_2023_2030_v1
SC,2028,0.8876,interp_linear_2023_2030_v1
SC,2029,0.9438,interp_linear_2023_2030_v1
SC,2030,1.0,interp_linear_2023_2030_v1
SE,2024,0.4252,interp_linear_2023_2030_v1
SE,2025,0.521,interp_linear_2023_2030_v1
SE,2026,0.6168,interp_linear_2023_2030_v1
SE,2027,0.7126,interp_linear_2023_2030_v1
SE,2028,0.8084,interp_linear_2023_2030_v1
SE,2029,0.9042,interp_linear_2023_2030_v1
SE,2030,1.0,interp_linear_2023_2030_v1
SP,2024,0.5932,interp_linear_2023_2030_v1
SP,2025,0.661,interp_linear_2023_2030_v1
SP,2026,0.7288,interp_linear_2023_2030_v1
SP,2027,0.7966,interp_linear_2023_2030_v1
SP,2028,0.8644,interp_linear_2023_2030_v1
SP,2029,0.9322,interp_linear_2023_2030_v1
SP,2030,1.0,interp_linear_2023_2030_v1
TO,2024,0.5176,interp_linear_2023_2030_v1
TO,2025,0.598,interp_linear_2023_2030_v1
TO,2026,0.6784,interp_linear_2023_2030_v1
TO,2027,0.7588,interp_linear_2023_2030_v1
TO,2028,0.8392,interp_linear_2023_2030_v1
TO,2029,0.9196,interp_linear_2023_2030_v1
TO,2030,1.0,interp_linear_2023_2030_v1
